baitChr	baitStart	baitEnd	baitID	baitName	oeChr	oeStart	oeEnd	oeID	oeName	dist	Mon	Mac0	Mac1	Mac2	Neu	MK	EP	Ery	FoeT	nCD4	tCD4	aCD4	naCD4	nCD8	tCD8	nB	tB
2	114434157	114443840	364045	RNU6-744P	22	51202925	51203643	436822	.		0	0	14.117114095557	1.57434156289197	5.19185008591765	6.53765508725032	0	0.27355247772589	0.312675774303753	5.44119945507132	0	0	6.78872957764947	0	0	0	12.0519733429938
21	27760598	27766426	423688	AP001596.6;AP001597.1	22	32839932	32846946	432856	.		2.4289218361438	3.51450094217401	11.2602385757228	9.63970090796704	1.48528913897026	4.45834299499513	6.64913742870082	4.22087251422548	7.74064062477201	0	0	6.44739731310017	6.73847087770098	0	0	7.68491514950038	2.41232670988987
2	133030965	133038759	369459		22	34100451	34104157	433192	SNORA76		0.452182071236144	0	0	0	11.867019020373	0	0	0	0.465167093703953	0	0	0	0	0	0	0	0
2	133030965	133038759	369459		22	34314675	34319101	433266	LARGE;LL22NC03-32F9.1		0	0	0	0	5.38038870384218	0	0	0	0	0	0	0	0	0	0	0	0
22	17299530	17306838	429564	XKR3	14	19011826	19012060	210141	.		0	0	0	0	0	0	10.8782482703184	0	0	0	0	0	0	0	0	0	0
22	17299530	17306838	429564	XKR3	14	19035445	19038512	210153	.		0	0	0	0	0	0	5.64994190436472	0	0	0	0	0	0	0	0	0	0
22	17299530	17306838	429564	XKR3	14	19040953	19042490	210157	.		0	0	0	0	0	0	6.23752511006953	0	0	0	0	0	0	0	0	0	0
22	17299530	17306838	429564	XKR3	14	19108290	19110021	210171	.		0	0	0	0	0	0	26.8650193647582	0	0	0	0	0	0	0	0	0	0
22	17299530	17306838	429564	XKR3	14	19784990	19796181	210374	.		0	0	0	0	0	0	7.70738317370388	0	0	0	0	0	0	0	0	0	0
22	17299530	17306838	429564	XKR3	15	20006515	20009819	235893	.		0	0	0	0	0	0	6.90776629758597	0	0	0	1.92485480754259	0	0	0	0	0	0
22	17299530	17306838	429564	XKR3	15	20009820	20011521	235894	.		0	0	0	0	0	0	6.90776629758597	0	0	0	0	0	0	0	0	0	0
22	17299530	17306838	429564	XKR3	22	17198532	17200065	429534	.	-103885	5.23900750361439	1.55362478189206	2.55996018030611	4.12326644064604	1.84434181731713	1.51349902337538	3.10036299245442	2.61340307087095	1.51959838736101	1.81395949672902	1.16589699547369	2.30769518898109	1.64148399294723	1.93789767060613	1.12528655569097	1.78801467930254	2.07585970871819
22	17299530	17306838	429564	XKR3	22	17255696	17259428	429554	.	-45622	3.84709065649001	3.08754419877167	4.3205862774359	9.61788196494305	2.83562561614232	7.53282340522789	4.08817149153831	4.60827020936795	4.57135068329403	2.77589205649627	2.70055698786386	3.37270481994583	3.42202002841069	4.51935982714944	3.04929318740255	6.55432467047421	3.71138760720835
22	17299530	17306838	429564	XKR3	22	17259429	17261638	429555	.	-42650	4.43125147785937	2.6813701371923	3.67475744153842	7.5252592722827	4.87860926164108	7.14781212066212	4.50010090403225	4.08446996814134	3.76401344685968	3.44369316442578	3.10121305204601	3.21137137408401	3.74758364004805	3.61289044204566	4.57349293767326	5.54423569245318	4.90780964797161
22	17299530	17306838	429564	XKR3	22	17261639	17261997	429556	.	-41366	2.33026779491049	2.16083410751175	3.05105587868819	5.00241827943982	1.97120877876438	3.77833227365563	3.42680390876172	2.60799167706614	2.55643470668541	2.48805136687249	2.43539848718729	2.28764316873439	2.34402975789943	3.27479845781154	3.03737693008762	5.04434966786254	4.45409644705461
22	17299530	17306838	429564	XKR3	22	17267667	17269976	429558	.	-34362	1.77108204906841	1.2736349143993	1.77323493204105	2.62991913389458	1.95764697341253	2.20345276759168	3.39490063986551	2.2919910921164	2.3207643912648	1.91554625077853	1.93983807086725	3.11591171578775	2.48279217294093	2.71739478811499	2.50087762614384	5.48110462328075	3.82571986436737
22	17299530	17306838	429564	XKR3	22	17269977	17271219	429559	.	-32586	2.91866561267936	2.11834778611418	3.13724034702095	5.45156027431327	2.36238648440657	5.32758167246175	4.62170443188864	3.8520434277516	4.21039758720541	2.79838486679655	3.24787074910775	3.21489880378028	3.42473886831435	4.65453409628572	3.85651594690791	6.58913530935932	4.55796716935994
22	17299530	17306838	429564	XKR3	22	17280413	17282727	429561	.	-21614	1.60721768977146	1.20279530163699	2.36067781443348	3.18239141333751	3.62369467337357	3.57460404937984	3.35403680685573	2.66437496950092	3.31549648529007	4.33401652996725	3.53536700127008	2.81807701529916	2.91768973442766	3.07799106557847	3.93314551886211	4.59029572803272	5.28555503246944
22	17299530	17306838	429564	XKR3	22	17282728	17288866	429562	.	-17387	2.54108546008673	1.58184991977179	2.48190779460509	4.28550519308091	3.23212799831742	3.5798209740989	3.95421491553982	3.54257368284998	4.42321360141883	5.29240226204381	4.92927996120378	4.38107216804731	4.63942646807581	5.66206384844	4.23964821305644	5.66712318308318	5.30925053685804
22	17299530	17306838	429564	XKR3	22	17311173	17315205	429566	.	10005	2.72649009925327	2.4643399921009	3.58804039454879	6.32517221560767	2.27782379748409	4.48354358122285	5.31604564081234	4.044602253787	4.10806684373975	7.17613936230802	6.92788868467023	7.15567729774377	6.63366343523127	7.28492496105518	7.37457268792674	8.76119552589581	6.5966644982587
22	17299530	17306838	429564	XKR3	22	17315206	17315418	429567	.	12128	2.86604751866895	2.43399804666304	5.21087450240083	5.34212183369129	2.30169139479894	5.32379292640316	5.92413085893841	5.45913443772368	5.78914890390647	7.99729907587151	7.44168782801763	7.83456330632634	7.3386527087895	8.70282614237308	8.83662002320842	10.1883863913632	7.89600353188836
22	17299530	17306838	429564	XKR3	22	17315419	17319174	429568	.	14113	3.61261675059729	3.10733671198098	4.00245627440977	7.86611620220938	3.10926454718966	5.47232411520506	6.58035471348291	5.30139196665582	5.46152789719404	8.39497598096093	8.42160411207321	8.20548392093784	7.97863707247338	7.95356786456205	7.55532626367768	9.90585884508524	7.1877037350905
22	17299530	17306838	429564	XKR3	22	17343354	17348039	429572	.	42513	2.54421891282849	2.09242730266883	2.96849353264397	8.7230717907557	2.54932963968766	2.17354818481733	2.39654107059825	2.5673461925835	2.26692033182306	2.47850821551897	2.88286057946409	2.28668292618599	2.44231366905985	3.06358434414011	2.7283762415733	3.90197463654607	4.62306659003053
22	17299530	17306838	429564	XKR3	22	17393127	17397275	429585	.	92017	2.28196243458806	1.81786239267487	2.64091115653432	3.68350427370447	2.8907720138138	2.60925841862441	2.27049018191629	2.90488581719989	3.52327583042828	3.78101841617125	4.55039933811773	3.20192053175985	3.14800197463983	4.86448695191271	1.79052256374091	6.71449568773202	5.86622817669779
22	17299530	17306838	429564	XKR3	22	17397276	17397856	429586	.	94382	2.37142963107294	0.877832619310449	3.16851516370599	3.91358794295698	3.58643198813264	3.98001727567661	3.08204871842927	3.58520701152763	2.7694011627819	4.74430517749802	4.80548943061299	3.12753904220317	3.6971100796763	2.18211460369517	4.26745408216214	6.01092817330217	5.80746376841382
22	17299530	17306838	429564	XKR3	22	17412237	17420134	429592	.	113002	0.416105703779098	0.617681506744328	0.832372219551595	0.810107158338218	2.96811125905663	1.0214453333433	1.723843161085	1.38588252267215	1.50358578356869	2.29969550599428	1.93258469859564	2.66089539527875	3.31624506850147	3.12274210912629	1.8223837220743	5.16186532499618	3.79964319532057
22	17299530	17306838	429564	XKR3	22	17434098	17435436	429599	.	131583	1.10071618535536	1.01473672584363	1.96083182551568	1.60340868293286	2.2710343091477	1.31159252609798	3.32222148839051	1.02092748998405	3.94202941273673	3.43457389540229	4.90148452239903	3.41056401929668	2.73562001575586	2.96382402299173	4.2162244890081	5.18952344843345	3.40957925256553
22	17299530	17306838	429564	XKR3	22	17528410	17531768	429628	.	226905	3.65258261745233	2.00927421347286	2.20746513466755	5.2142774977741	1.1591303222627	1.19180418366689	0.622244763578794	1.40742612493359	1.87288469394507	1.62491432307499	0.515196716647302	1.10750034782787	0.449183903977702	1.77080770757285	1.23006150569608	1.75765240978161	3.4528105257719
22	17299530	17306838	429564	XKR3	22	17531769	17535150	429629	.	230276	4.05189109913399	3.65542939689653	4.23921850087401	4.86328350813825	4.63317962456158	5.06332812055894	2.41229091618236	3.07167164902031	2.69101170966067	1.15316881096752	1.02657077960705	2.27918836623224	0.709493090333546	2.5065193762433	1.17311287479717	1.78782946437354	3.98080311170984
22	17299530	17306838	429564	XKR3	22	17535352	17550261	429631	.	239623	2.89961770670583	2.17910201669468	1.43109981598089	5.65551219057371	0.961102517145949	2.70879701650972	0.700443010251381	0.920745258291036	1.26652399046893	0.491206344274988	1.16513962297966	1.61009099494568	1.5997493719618	0.963410069589227	0.381477609158077	0.994163137599927	2.27337819594233
22	17299530	17306838	429564	XKR3	22	17550262	17550938	429632	.	247416	2.19725643581896	4.83179309987507	3.15679835953485	5.78945642256074	1.0062466064482	3.23132373151	1.10891727419586	3.55738126831073	1.4553336900102	0.477668011009277	0.816374592960726	0.777250048450978	0.777499716686392	1.81652959772493	0.0434231173553323	0.986436861749293	0.899282000216343
22	17299530	17306838	429564	XKR3	22	17552986	17555028	429634	.	250823	2.08468401892158	3.32630354638002	2.18965253064538	5.97125385885531	1.02586298048704	1.81274839822885	0.326815812207999	0.662459222829498	0.411640933092184	0.203229693290277	0.322096251110382	0.791135188403714	0.210015968101554	0.410077664155842	0.850838359469162	1.04774906860213	2.39334542925348
22	17299530	17306838	429564	XKR3	22	17723207	17728513	429663	.	422676	6.00055683109897	3.61784492258461	4.18104259284519	7.29792832831354	2.41916638792174	1.07772904808088	0.490893172307207	0.122422747012611	2.03514075276848	0	0.0544849840111894	0.211184098839721	0	0.597104609331827	0	0.321422397469652	0.4998661163313
22	17299530	17306838	429564	XKR3	22	17979339	17981530	429720	.	677251	3.07739309862085	2.1636920726564	1.20985064195598	5.62212783286476	2.32347702995995	3.40943806360583	1.49491937945039	0.675920847326403	0.714706162123867	0.948949010360068	0.58598890788975	0.951952983937189	0.956480681288196	4.80695184484872	1.56652442389417	1.08760718968979	3.48567084458084
22	17299530	17306838	429564	XKR3	Y	9917268	9920054	832355	.		0	0	0	0	0	0	5.64994190436472	0	0	0	0	0	0	0	0	0	0
22	17485356	17492475	429614	GAB4	21	11129149	11147842	419571	.		1.99268446402051	8.72168506544354	9.00932659346127	9.34144835791899	0	0.0276033985885826	25.8727023038353	0.790216372216979	0.940582264023576	0	0.258481828843137	1.24398626071099	1.03420285307066	0.25285236948877	6.66539857086541	0	0
22	17485356	17492475	429614	GAB4	22	17393127	17397275	429585	.	-93714	1.41284848656338	4.14731159136168	6.17180107913228	6.86172995002859	0.965492586622669	1.93221670179472	3.08843926738178	3.6591960913927	1.17351910054125	1.64542162629187	1.89602334017628	1.79051982949941	2.34653536524609	1.92224988676748	1.05009074400121	3.70888605569899	2.72944989058573
22	17485356	17492475	429614	GAB4	22	17397276	17397856	429586	.	-91349	2.9622563198949	7.17642741118518	6.25864521681824	14.2707496736316	0.458230020864179	2.33365078725684	3.50535972012281	4.17315496334254	1.5093638665765	2.35393297318532	0.900331921438323	1.24203131073493	2.88265987498132	1.62899688275815	2.50053990464069	3.59060470309324	2.63814382085738
22	17485356	17492475	429614	GAB4	22	17397857	17403115	429587	.	-88429	0.981787274222911	3.80721491495426	5.2763334057533	7.30605293612232	0.931282414843133	1.5052538261079	3.23538559491857	2.24699149465257	0.782698545874987	0.894860286222317	0.895969802144443	1.69075141527236	0.992150328210852	1.0140269442033	0.986018426218089	0.954296444156211	1.91396595115919
22	17485356	17492475	429614	GAB4	22	17405385	17406337	429589	.	-83054	0.884327754301158	5.73149310110397	5.30270152522782	6.91902248897504	0.473715804679949	2.48583643665144	3.4667473415899	1.89940332219214	1.23402214549936	2.11722374600196	0.764057143999618	1.13390170562922	1.28269160519558	1.08119710094277	0.854673946958331	2.39838671389437	1.52255694834299
22	17485356	17492475	429614	GAB4	22	17406338	17408749	429590	.	-81372	1.47381318305991	5.37913261700233	5.73913153572978	7.75000560647096	1.71584605484559	3.68247681514754	4.88521716892072	4.03440514242658	1.38864543700016	1.15587993695858	1.88010174154019	0.826613998527633	1.01445191746579	1.79891658481095	1.92726344837524	2.12445191450651	1.47740864543587
22	17485356	17492475	429614	GAB4	22	17408750	17412236	429591	.	-78422	1.5524144801273	4.93254981315976	3.99688677736177	9.38334751556582	1.61546102525554	1.99706998058118	3.92635551853984	2.22495840702665	0.95119316056772	1.08547230102523	1.08917932037823	2.0249491746338	1.16932839116414	2.21594946664549	0.983609927221628	1.69398358160084	1.39853950811733
22	17485356	17492475	429614	GAB4	22	17412237	17420134	429592	.	-72730	2.17339842987826	5.54241581164646	4.75310297811733	6.98321716014422	1.16272985124978	1.52501775079847	3.36372774023816	2.4636956052495	1.16152888461265	1.13014801186974	0.958123253293198	0.896967872517176	1.25806828781392	2.34683561133391	1.61303866005483	1.29084390644119	1.44077046592663
22	17485356	17492475	429614	GAB4	22	17426875	17428995	429595	.	-60980	2.46989367324847	4.69833117078417	6.25731204559566	6.767215838081	1.2258690391227	1.69069832095136	4.53392919785257	1.98954568829949	1.82414238434205	1.44701144905013	1.35500505608243	1.46390650243424	1.32623223398152	1.32941756349335	1.64793253383865	1.85308798069676	1.98541066535433
22	17485356	17492475	429614	GAB4	22	17428996	17429571	429596	.	-59632	0.883008615889955	3.26882087173464	4.19851383170411	5.2653569262554	0.579018686214332	2.08285675462345	4.01009727576282	1.45948466799352	1.55991817466765	1.07772085718242	0.973103318539875	1.08765669430659	1.50319616680433	1.33549499340687	1.31038311237619	2.07684623512755	1.88634591975839
22	17485356	17492475	429614	GAB4	22	17434098	17435436	429599	.	-54148	1.85190571971806	6.05166637496863	6.22977866529428	6.30408571651588	0.97703547372977	3.47222622285428	5.80914676011922	3.7228921427557	2.43273400432128	2.36866502180118	1.5256889950302	1.42702379642418	1.82610557662484	1.94502918668739	1.20473228980747	2.41469598898613	2.29404017108998
22	17485356	17492475	429614	GAB4	22	17464862	17466477	429607	.	-23246	1.14841083093971	3.80174072460797	5.25851025377516	4.79655212743373	1.69712412374407	2.14675938098226	3.33589493428965	2.4710863386324	1.59088233034791	1.90342053208621	1.64568264057919	1.63434327920976	1.96577112497835	1.99029659319332	1.55024699464533	2.92121796091818	2.16869993103502
22	17485356	17492475	429614	GAB4	22	17916014	17917565	429701	.	427874	4.62426765994076	1.65964283534687	1.23678843259413	1.89399581878439	1.1876355404724	3.92448234410342	2.96096196388298	3.28247583906578	2.48526791741736	5.65279906391907	2.06063279567468	3.83377035406415	3.61011502089233	2.36813018961463	1.31828029378056	3.74946492310989	2.35667982587164
22	17485356	17492475	429614	GAB4	22	17920570	17921302	429704	.	432021	3.18089725398525	1.67368710884473	1.89098133801687	5.07068792166989	2.34127969685698	3.9523223277498	2.84958401289983	2.03264767468451	3.63174419237751	2.71056425975126	3.12291265230719	4.96954183755008	2.88313623275172	3.00043242895214	2.06550111819425	0.467844472704681	3.99782577937605
22	17485356	17492475	429614	GAB4	22	17936943	17940226	429709	.	449669	1.22297078157163	2.4983930335395	2.11756359564019	1.18542519990993	1.80855543358007	2.18619543017585	3.11614787767156	1.67644018787636	5.00194302128705	1.99778864875536	4.66759033048921	2.48390012192332	2.37862613464647	2.46172783545902	3.26054445437081	1.42211380044104	2.8110385681812
22	17485356	17492475	429614	GAB4	22	17940227	17942457	429710	.	452427	1.22823101240589	2.51170807545788	3.0236282201555	1.98190088448279	2.71595308177845	1.20426999329046	6.02702041850617	1.68530256699273	5.35696621704777	3.86009484025818	3.86106265606733	5.09501408843111	6.5844751982771	0.239705941421013	2.24686527559382	2.34611722486472	1.15840155054705
22	17485356	17492475	429614	GAB4	22	17971058	17971923	429716	.	482575	1.97141829614293	2.65289847105868	2.23862454200542	2.21119281859915	2.89579726031364	2.28790485005762	4.24842327696797	2.67832780030071	2.42273045023197	3.8958705016146	2.39819998742802	4.40772711914929	4.19911764231558	5.39563262960461	5.46294942067212	3.47073818181594	2.56421452113108
22	17485356	17492475	429614	GAB4	22	17971924	17972667	429717	.	483380	0.105668899645785	1.12121275393268	1.42163205948577	0.543012446614083	1.30492671230164	6.82678749402094	4.29895487647471	0.965987638655647	2.73061533168661	4.0350337156008	4.94045631353816	3.49852202476831	3.34059937019127	4.43256017542554	3.338130531832	1.47360772230139	3.90168970484693
22	17485356	17492475	429614	GAB4	22	17979339	17981530	429720	.	491519	0.10041754900002	1.13377207398187	2.36684212160719	1.35241944173732	1.10276095571003	3.37467878530416	3.29453587253866	2.57380582956383	1.73440071227177	3.06748905758747	5.00386403726959	4.46723124162161	4.25630575972131	4.48709878931359	3.37304395444202	1.48482322891152	2.06103332127461
22	17485356	17492475	429614	GAB4	22	18002810	18003519	429723	.	514249	3.00892482362583	2.88549300735172	3.47205091274652	3.2955597635008	4.62749625486427	1.36971360569258	4.45219641036957	4.90555214919123	2.04456289682961	1.30075295402579	6.11373379080989	4.61352886375856	3.66997803180797	5.64898500003154	2.4876893989165	4.86500034458744	2.24553689916988
22	17485356	17492475	429614	GAB4	22	18007490	18009664	429727	.	519662	2.21887128011696	5.6393407287985	2.36462876085972	1.3023942101636	2.71485439380004	3.49363245437114	1.37282344909799	1.77138061653341	1.10401222295909	4.08427166544989	3.22399631323621	4.44421563711275	5.09220532564262	3.6794764847447	2.43708119174298	3.6258507511373	1.81874302229735
22	17559613	17573133	429637	AC006946.17;IL17RA	22	17575926	17585348	429639	.	14264	2.0279391587549	5.22135351799126	4.56482206739744	7.13267977755025	3.70656955808083	5.45892584588777	2.81875422091724	4.54217702862629	3.46333934094865	5.34704690418241	4.85546551101523	3.40922020266507	4.80450088281797	4.09219831367112	5.01179201157321	3.06082859176403	2.54418283551384
22	17559613	17573133	429637	AC006946.17;IL17RA	22	17597619	17603360	429643	AC006946.15;CECR6	34117	3.8096704829452	2.978884442075	2.86758300950746	4.01739289439968	3.7300750345018	2.2026303469253	3.36812601354751	1.84381338253576	3.43560481311663	6.12691644490522	4.71776333453674	5.26329902692372	4.74782508340506	4.17689313596632	4.67730044207242	2.55786069252665	1.32124370984661
22	17559613	17573133	429637	AC006946.17;IL17RA	22	17639413	17646297	429649	CECR5-AS1;CECR5	76482	2.8218864898169	4.77543410232195	4.31235790793997	4.306407102095	6.39540084942904	3.77397137112352	1.93594579713443	3.37750878792926	3.03128107694628	8.18242827714151	6.30257819545363	6.33931422018081	5.75934277769152	5.91274678598983	6.78138959008025	3.88405788380057	2.18798957570621
22	17559613	17573133	429637	AC006946.17;IL17RA	22	17728514	17749906	429664	CECR3	172837	3.78724825503283	5.0553435240141	4.45637253692458	5.95192707078039	2.80196819813129	2.58649867790193	0.772361665015944	4.39735741892386	6.92690305428785	4.33758694818643	3.31306103177552	2.58573500749345	5.30504119996365	3.9208031199648	2.47719051098876	2.24162869471047	1.60445663521418
22	17559613	17573133	429637	AC006946.17;IL17RA	22	17839550	17848230	429680	CECR2	277517	6.94634915081457	6.21037325423296	4.4478174525195	7.12955410329477	1.95555438603551	3.49263698659344	5.63406217445197	5.51428172140865	7.68870383213189	5.96470521149574	9.6649232920276	9.91726558055981	9.74066507472314	6.1333746108445	3.48890229589679	5.44367416385038	6.43177552329224
22	17559613	17573133	429637	AC006946.17;IL17RA	22	17940227	17942457	429710	.	374969	0.969919390386136	1.07897879120032	1.26647378529198	0.369914896246653	0.206014489832921	0.328210762677919	5.31657268194372	0.259826118300059	0.113304050750813	0.377384428275757	0.370662714301139	0	0.416873833406634	1.08366668457327	0.444646944211503	2.49541681622365	1.84720785194726
22	17559613	17573133	429637	AC006946.17;IL17RA	22	17971058	17971923	429716	.	405118	4.23838246531034	4.4347660245681	1.32548531908238	1.48209513250696	2.5899451001606	1.44290943716746	5.58401701926993	1.23563368581638	0.86456797368174	5.42122631992002	3.91090408881842	1.55767519877147	5.48519454612241	2.32822039979584	2.90903045054589	2.60087525194903	1.69311048373656
22	17559613	17573133	429637	AC006946.17;IL17RA	22	17971924	17972667	429717	.	405923	1.99580244911256	1.17024638087179	2.56210298956708	1.48360235318351	1.22054103871564	2.74892272343203	5.63415921317685	3.74956246580713	0.141004970175273	4.10287140843379	2.61667408419855	1.55898032665626	4.0915064057853	1.20611979180582	2.91191941143704	3.92339864071112	1.93620316378113
22	17559613	17573133	429637	AC006946.17;IL17RA	22	17972668	17977749	429718	.	408836	1.07223384741046	5.80748230840486	1.40187816852946	0.406592870642151	0.304246141111259	1.4878568604798	2.93330637231542	0.266938988394888	1.04189432425682	4.20402816933468	4.02706867012273	1.6015267216294	2.87261039858847	1.2467148188248	3.06207167097948	0.377035221846908	2.04517493171348
22	17559613	17573133	429637	AC006946.17;IL17RA	22	17977750	17979338	429719	.	412171	3.25543796894101	7.11819430489988	2.61324050472968	4.15444329867144	0.302020584933842	1.4926348838793	4.35990742042446	5.33712654797557	1.04475293694918	4.22183127693762	3.95001292281153	5.87787713631392	4.27436925370794	2.40826503841834	0.450405081642026	5.47547574697227	3.15933569668478
22	17559613	17573133	429637	AC006946.17;IL17RA	22	17979339	17981530	429720	.	414062	3.12272693959972	8.4468599301227	8.08275529287112	11.4437028090797	0	4.23184465973757	7.14367777211246	2.35340977408668	2.91991040118032	5.6191290113879	5.33978850066051	2.88863787196053	2.78170291282346	4.93176685500908	2.94058022093734	5.37334230583278	4.16436079337808
22	17559613	17573133	429637	AC006946.17;IL17RA	22	18007490	18009664	429727	.	442204	2.19471073887358	1.18228877793373	0.308050487733166	5.51418000172322	0.216782074834642	0.322853455057523	2.84616895602462	0.198365739157718	1.89843545586875	1.44536667561157	0.307607268500202	0.372104895606328	0.349406769407139	1.24720902796066	0.416620661373876	1.4303784349305	2.80451270967054
22	17559613	17573133	429637	AC006946.17;IL17RA	22	18107775	18116093	429743	ATP6V1E1;BCL2L13	545561	2.93064839532428	1.07278564173691	4.08085893967883	2.15550820839081	4.42032334714921	2.86794120293685	0	0	2.90826774832042	3.31063277796924	4.46145325802584	3.27051086350682	5.37327598060372	3.79208696648232	3.61387570889664	0.886749893523761	2.71635277216299
22	17559613	17573133	429637	AC006946.17;IL17RA	22	18254612	18266062	429781	BID;LINC00528	693964	1.03327513299542	0.72967259652214	1.38042882492877	0	6.17799913734197	0.371162363841696	1.03330206306891	2.28905597957111	6.22384121357596	0.315801077595311	0	0.0263627524608703	0	0.756206174362885	2.75595552376099	0.392289306625567	0
22	17559613	17573133	429637	AC006946.17;IL17RA	22	18559635	18572892	429851	PEX26;XXbac-B476C20.11;XXbac-B476C20.9	999891	5.44529083005573	0.183712025350609	0	2.13971621194928	3.59552386943534	0.141919895251386	0	3.39981702634873	7.91918837603413	4.49504736896192	5.30548811879268	3.23811600550712	0.629549655934146	4.52558315002316	6.32179744179913	1.48250881562907	1.69570127033692
22	17597619	17603360	429643	AC006946.15;CECR6	22	17647560	17648837	429651	.	47709	3.91947072889172	6.34365897580791	4.44643216228758	5.42480202874166	5.41119697832131	3.76150267102994	2.56337836567875	2.0483479669594	2.18023425966904	3.96256653015782	2.92066793972522	3.59269745329771	3.93372305980664	3.21230927002995	3.1430915183479	1.77762082907288	1.50134782576052
22	17597619	17603360	429643	AC006946.15;CECR6	22	17648838	17659171	429652	.	53515	3.17630755937647	3.58833489101988	3.16972410682151	3.61916950179049	5.31499334827703	2.9504592387601	1.22333634050554	2.40201233400681	1.51841338804233	2.65401850478476	2.68191135142103	2.80333789094578	2.8184862479002	2.41998206351169	1.96599796098891	1.86493135797655	1.30599041519138
22	17597619	17603360	429643	AC006946.15;CECR6	22	17915358	17916013	429700	.	315196	3.248958999535	3.42769121620057	2.78220813850535	1.6880078828541	0.340387265613066	4.85562266971978	2.98392398325781	2.20885935097249	0.788672245310221	6.15298103308887	3.0313560893144	3.61169112639569	4.44109309504703	1.93686199606471	2.08914651369439	3.88680048866044	3.13138852559897
22	17597619	17603360	429643	AC006946.15;CECR6	22	17916014	17917565	429701	.	316300	1.67037039122517	2.24286418313117	4.01221843082181	1.84592407254481	0.341499842714412	3.53844340436668	2.02419345673105	4.40492331975155	0.958465789932966	2.86556398861928	2.65965154047081	4.1251469347755	2.00654336755004	1.94506595298626	4.20713113047638	3.90127866833698	5.2653613516354
22	17597619	17603360	429643	AC006946.15;CECR6	22	17918375	17920569	429703	.	318983	2.21964183265349	1.97107717747796	4.47955917777584	4.36615960867117	0.960089959446521	4.77753585733446	2.64953775264077	3.64262245417859	1.7044533249338	2.77131402716881	3.47097158565888	3.16816404264194	4.22338982068945	1.80118970369648	3.49391376623495	5.4577270971911	3.58581975343851
22	17597619	17603360	429643	AC006946.15;CECR6	22	17920570	17921302	429704	.	320447	2.47528145489703	3.2230442341714	4.56271830385067	3.67561481133559	0.0530406298392174	3.58937712524315	3.43500052226269	4.26863816620635	2.05318763181219	4.90656591286501	3.0233536588982	4.59140397305003	3.78238448640504	4.50490474012468	5.7225243745878	6.00902691623218	6.69900495398347
